strategy,bank,template,item,year,gt_value,gt_unit,ext_value,ext_unit,value_ok,unit_ok,fully_ok,chunking
sparse,ANT BANK (HONG KONG) LIMITED,KM1,Total RWA,2024 Dec,1794706,HKD’K,1794706.0,HKD'K,True,True,True,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,OV1,Market risk,2025 Mar,7788,HKD’K,2018389.0,HKD'K,False,True,False,NEW_3000_1000
sparse,AIRSTAR BANK LIMITED,LR2,Minimum leverage ratio requirement,2025 Mar,3,%,3.0,HK$'000,True,False,False,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,KM1,Total capital ratio,2024 Jun,53.6,%,53.6,%,True,True,True,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,KM1,Common Equity Tier 1 (CET1) ratio,2024 Sep,36.62,%,36.62,HKD'K,True,False,False,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,KM1,LMR,2024 Mar,135.89,%,112.29,%,False,True,False,NEW_3000_1000
sparse,AIRSTAR BANK LIMITED,LR2,Leverage ratio,2025 Mar,18.96,%,18.96,%,True,True,True,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,KM1,Tier 1,2025 Mar,1280214,HKD’K,1280214.0,HKD'K,True,True,True,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,LR2,Total on-balance sheet exposures (excluding derivative contracts and SFTs),2025 Mar,5657078,HKD’K,5727852.0,HKD'K,False,True,False,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,OV1,Operational risk,2025 Mar,104288,HKD’K,2018389.0,HKD'K,False,True,False,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,LR2,Minimum leverage ratio requirement,2025 Mar,3,%,21.39,%,False,True,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,KM1,Tier 1,2025 Mar,281204,HK$’m,281204.0,HK$'m,True,True,True,NEW_3000_1000
sparse,ANT BANK (HONG KONG) LIMITED,LR2,Leverage ratio,2025 Mar,21.39,%,21.39,HKD'K,True,False,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,KM1,Total RWA,2024 Dec,1331828,HK$’m,0.0,HK$'m,False,False,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,KM1,Common Equity Tier 1 (CET1) ratio,2024 Sep,20.41,%,20.41,HK$'m,True,False,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,KM1,Total capital ratio,2024 Jun,22.17,%,7.16,HK$'m,False,False,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,OV1,Market risk,2025 Mar,88333,HK$’m,0.0,HK$'m,False,False,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,KM1,LMR,2024 Mar,Not applicable,%,0.0,HK$'m,True,True,True,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,OV1,Operational risk,2025 Mar,71065,HK$’m,71065.0,HK$'m,True,True,True,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,LR2,Minimum leverage ratio requirement,2025 Mar,3,%,3.0,%,True,True,True,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,LR2,Leverage ratio,2025 Mar,7.16,%,7.16,%,True,True,True,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",KM1,Tier 1,2025 Mar,92016,HK$ million,92016.0,(HK$ million),True,False,False,NEW_3000_1000
sparse,BANK OF CHINA (HONG KONG) LIMITED,LR2,Total on-balance sheet exposures (excluding derivative contracts and SFTs),2025 Mar,3600483,HK$’m,3600483.0,HK$'m,True,True,True,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",KM1,Total RWA,2024 Dec,486099,HK$ million,486099.0,HK$ million,True,True,True,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",KM1,Common Equity Tier 1 (CET1) ratio,2024 Sep,17.74,%,17.74,(as a percentage of RWA),True,False,False,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",KM1,Total capital ratio,2024 Jun,22.82,%,22.82,%,True,True,True,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",OV1,Market risk,2025 Mar,7822,HK$ million,0.0,HK$ million,False,False,False,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",KM1,LMR,2024 Mar,Not applicable,%,0.0,HK$ million,True,True,True,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",LR2,Total on-balance sheet exposures (excluding derivative contracts and SFTs),2025 Mar,835575,HK$ million,835575.0,HK$ million,True,True,True,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",OV1,Operational risk,2025 Mar,25453,HK$ million,0.0,HK$ million,False,False,False,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",LR2,Leverage ratio,2025 Mar,10.31,%,10.31,(HK$ million),True,False,False,NEW_3000_1000
sparse,"BANK OF EAST ASIA, LIMITED (THE)",LR2,Minimum leverage ratio requirement,2025 Mar,3,%,3.0,(%),True,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,KM1,Total RWA,2024 Dec,398504768,HK$ thousands,0.0,thousands of Hong Kong Dollars,False,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,KM1,Tier 1,2025 Mar,100106030,HK$ thousands,-2225561.0,thousands of Hong Kong Dollars,False,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,KM1,Total capital ratio,2024 Jun,21.11,%,21.11,%,True,True,True,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,KM1,Common Equity Tier 1 (CET1) ratio,2024 Sep,18.46,%,18.46,thousands of Hong Kong Dollars,True,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,KM1,LMR,2024 Mar,Not applicable,%,141.15,thousands of Hong Kong Dollars,False,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,OV1,Market risk,2025 Mar,28397175,HK$ thousands,28397175.0,In HK$ thousands,True,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,OV1,Operational risk,2025 Mar,8823063,HK$ thousands,8823063.0,thousands of Hong Kong Dollars,True,False,False,NEW_3000_1000
sparse,CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,LR2,Leverage ratio,2025 Mar,17.14,%,0.0,thousands of Hong Kong Dollars,False,False,False,NEW_3000_1000
