2026-09-18 18:33:24,250 - evaluate - INFO - Loaded 200 queries from ground_truth.xlsx
2026-09-18 18:33:24,250 - evaluate - INFO - ============================================================
2026-09-18 18:33:24,250 - evaluate - INFO - Running experiment: SPARSE (workers=8)
2026-09-18 18:33:35,859 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | LMR | correct=False | 11.6s
2026-09-18 18:33:39,354 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Leverage ratio | correct=False | 14.8s
2026-09-18 18:33:41,487 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 17.2s
2026-09-18 18:33:44,399 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Market risk | correct=True | 20.1s
2026-09-18 18:33:46,125 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 21.9s
2026-09-18 18:33:48,785 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Tier 1 | correct=True | 24.5s
2026-09-18 18:33:50,474 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Minimum leverage ratio requirement | correct=False | 25.9s
2026-09-18 18:33:52,179 - evaluate - INFO - [sparse] AIRSTAR BANK LIMITED | Total RWA | correct=True | 27.9s
2026-09-18 18:33:53,380 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Tier 1 | correct=True | 17.5s
2026-09-18 18:33:54,126 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Total RWA | correct=True | 14.8s
2026-09-18 18:34:04,552 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 23.1s
2026-09-18 18:34:08,114 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | LMR | correct=False | 22.0s
2026-09-18 18:34:08,281 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Total capital ratio | correct=True | 23.9s
2026-09-18 18:34:12,611 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Operational risk | correct=True | 22.1s
2026-09-18 18:34:14,721 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 22.5s
2026-09-18 18:34:18,482 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Minimum leverage ratio requirement | correct=False | 24.4s
2026-09-18 18:34:18,482 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Market risk | correct=True | 29.7s
2026-09-18 18:34:18,482 - evaluate - INFO - [sparse] ANT BANK (HONG KONG) LIMITED | Leverage ratio | correct=False | 25.1s
2026-09-18 18:34:22,764 - evaluate - INFO - [sparse] BANK OF CHINA (HONG KONG) LIMITED | Tier 1 | correct=True | 18.2s
2026-09-18 18:34:24,380 - evaluate - INFO - [sparse] BANK OF CHINA (HONG KONG) LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 16.1s
2026-09-18 18:34:26,585 - evaluate - INFO - [sparse] BANK OF CHINA (HONG KONG) LIMITED | Total RWA | correct=True | 18.5s
2026-09-18 18:34:28,335 - evaluate - INFO - [sparse] BANK OF CHINA (HONG KONG) LIMITED | Total capital ratio | correct=False | 15.7s
2026-09-18 18:34:31,361 - evaluate - INFO - [sparse] BANK OF CHINA (HONG KONG) LIMITED | Market risk | correct=True | 12.9s
